arm,category,band_start,band_end,matched_requests,survival_at_band_start,survival_at_band_end,pure_union,mixed_union,union_reduction_vs_mixed,token_agreement,unique_sequences,pair_count,expert_jaccard,low_token_expert_jaccard,low_token_pair_count,template_echo_union_reduction_delta
diverse,dcs_process_diagnostics,0,16,12,1.0,1.0,37.10696614583333,38.91623697916666,0.04649141267954304,0.008223145809951364,12,66,0.08622125428248831,0.08622125428248831,66,0.28758600966987047
diverse,document_rag,0,16,12,1.0,0.9166666666666666,35.725078125,38.91623697916666,0.08200070463840081,0.003581944965355768,12,66,0.11789835008338699,0.11789835008338699,66,0.19365199985671866
diverse,equipment_maintenance_bom,0,16,12,1.0,1.0,36.1717578125,38.91623697916666,0.07052272726512299,0.009117820407003844,12,66,0.10290619643700658,0.10064957166089425,64,0.20922164711145164
diverse,erp_structured_analytics,0,16,12,1.0,1.0,37.40024739583333,38.91623697916666,0.038955194566856366,0.006431502525252526,12,66,0.08553541285746147,0.08553541285746147,66,0.26395133270863746
diverse,office_legal,0,16,12,1.0,1.0,35.13375,38.91623697916666,0.09719559938931333,0.006776170405163636,12,66,0.14440016937401576,0.14440016937401576,66,0.318748111331993
diverse,tool_agent,0,16,12,1.0,1.0,40.1680078125,38.91623697916666,-0.032165772708277585,0.003988454395290464,12,66,0.07935793994552998,0.07935793994552998,66,0.24523292669074714
diverse,dcs_process_diagnostics,16,64,12,1.0,1.0,42.47345052083333,42.922886284722225,0.01047077218683834,0.008223145809951364,12,66,0.08622125428248831,0.08622125428248831,66,0.11155856593561764
diverse,document_rag,16,64,12,0.9166666666666666,0.9166666666666666,37.36830729166667,42.922886284722225,0.12940832907205102,0.003581944965355768,12,66,0.11789835008338699,0.11789835008338699,66,0.0009101547761741768
diverse,equipment_maintenance_bom,16,64,12,1.0,1.0,40.6221875,42.922886284722225,0.053600747383596214,0.009117820407003844,12,66,0.10290619643700658,0.10064957166089425,64,0.042685522983837876
diverse,erp_structured_analytics,16,64,12,1.0,1.0,43.02646701388889,42.922886284722225,-0.0024131818275121564,0.006431502525252526,12,66,0.08553541285746147,0.08553541285746147,66,0.0197589352066313
diverse,office_legal,16,64,12,1.0,1.0,36.39645399305556,42.922886284722225,0.15205017314946168,0.006776170405163636,12,66,0.14440016937401576,0.14440016937401576,66,0.2609014269486827
diverse,tool_agent,16,64,12,1.0,0.9166666666666666,42.400394965277776,42.922886284722225,0.012172790897112207,0.003988454395290464,12,66,0.07935793994552998,0.07935793994552998,66,0.29705578349041506
diverse,dcs_process_diagnostics,64,160,12,1.0,0.9166666666666666,41.12807508680555,40.61208333333333,-0.01270537512781833,0.008223145809951364,12,66,0.08622125428248831,0.08622125428248831,66,-0.11369518981903948
diverse,document_rag,64,160,12,0.9166666666666666,0.8333333333333334,36.68756293402778,40.61208333333333,0.09663430381283611,0.003581944965355768,12,66,0.11789835008338699,0.11789835008338699,66,-0.37700162118150526
diverse,equipment_maintenance_bom,64,160,12,1.0,0.9166666666666666,39.753337673611114,40.61208333333333,0.021145077751216546,0.009117820407003844,12,66,0.10290619643700658,0.10064957166089425,64,0.49621363826528897
diverse,erp_structured_analytics,64,160,12,1.0,1.0,42.72592013888889,40.61208333333333,-0.052049455040406034,0.006431502525252526,12,66,0.08553541285746147,0.08553541285746147,66,-0.36095133656859857
diverse,office_legal,64,160,12,1.0,0.5833333333333334,31.099259982638895,40.61208333333333,0.2342362806806949,0.006776170405163636,12,66,0.14440016937401576,0.14440016937401576,66,0.42751486168520814
diverse,tool_agent,64,160,12,0.9166666666666666,0.5833333333333334,34.06046440972222,40.61208333333333,0.1613219117531386,0.003988454395290464,12,66,0.07935793994552998,0.07935793994552998,66,0.4304867520318687
diverse,dcs_process_diagnostics,160,384,12,0.9166666666666666,0.75,36.33322544642857,35.331969866071425,-0.028338515631947114,0.008223145809951364,12,66,0.08622125428248831,0.08622125428248831,66,-0.04360225252955008
diverse,document_rag,160,384,12,0.8333333333333334,0.4166666666666667,28.37908110119048,35.331969866071425,0.19678746447583906,0.003581944965355768,12,66,0.11789835008338699,0.11789835008338699,66,-0.4259230051277644
diverse,equipment_maintenance_bom,160,384,12,0.9166666666666666,0.5833333333333334,34.23247395833334,35.331969866071425,0.031119009551570764,0.009117820407003844,12,66,0.10290619643700658,0.10064957166089425,64,nan
diverse,erp_structured_analytics,160,384,12,1.0,1.0,43.07225911458333,35.331969866071425,-0.2190732438030507,0.006431502525252526,12,66,0.08553541285746147,0.08553541285746147,66,-0.943245481520935
diverse,office_legal,160,384,12,0.5833333333333334,0.5,24.74087797619048,35.331969866071425,0.2997594510022312,0.006776170405163636,12,66,0.14440016937401576,0.14440016937401576,66,nan
diverse,tool_agent,160,384,12,0.5833333333333334,0.5,27.080489211309526,35.331969866071425,0.23354148342251446,0.003988454395290464,12,66,0.07935793994552998,0.07935793994552998,66,0.20467395267879507
single_template,dcs_process_diagnostics,0,16,12,1.0,1.0,28.208020833333336,42.35930989583334,0.3340774223494135,0.039184819231424826,12,66,0.14567433410413316,0.1327539393895874,52,
single_template,document_rag,0,16,12,1.0,1.0,30.6828515625,42.35930989583334,0.27565270449511947,0.014077847346010525,12,66,0.14577622599309548,0.1449476244772246,65,
single_template,equipment_maintenance_bom,0,16,12,1.0,1.0,30.50953125,42.35930989583334,0.2797443743765746,0.02457110173423801,12,66,0.1494240537162503,0.14331331345362722,56,
single_template,erp_structured_analytics,0,16,12,1.0,1.0,29.5283984375,42.35930989583334,0.30290652727549383,0.01568316690861063,12,66,0.10491109247286778,0.10321247805684482,64,
single_template,office_legal,0,16,12,1.0,1.0,24.74022135416667,42.35930989583334,0.4159437107213063,0.07337345020601352,12,66,0.2740436666391407,0.2261824631572233,30,
single_template,tool_agent,0,16,12,1.0,0.9166666666666666,33.33393229166667,42.35930989583334,0.21306715398246956,0.017966116459018903,12,66,0.1354303120507927,0.12583160782595756,56,
single_template,dcs_process_diagnostics,16,64,12,1.0,1.0,35.58094618055555,40.526349826388895,0.12202933812245598,0.039184819231424826,12,66,0.14567433410413316,0.1327539393895874,52,
single_template,document_rag,16,64,12,1.0,1.0,35.24501736111111,40.526349826388895,0.1303184838482252,0.014077847346010525,12,66,0.14577622599309548,0.1449476244772246,65,
single_template,equipment_maintenance_bom,16,64,12,1.0,0.6666666666666666,36.62421875,40.526349826388895,0.09628627036743409,0.02457110173423801,12,66,0.1494240537162503,0.14331331345362722,56,
single_template,erp_structured_analytics,16,64,12,1.0,1.0,39.823389756944444,40.526349826388895,0.017345753379119144,0.01568316690861063,12,66,0.10491109247286778,0.10321247805684482,64,
single_template,office_legal,16,64,12,1.0,0.3333333333333333,23.790928819444446,40.526349826388895,0.41295160009814436,0.07337345020601352,12,66,0.2740436666391407,0.2261824631572233,30,
single_template,tool_agent,16,64,12,0.9166666666666666,0.25,27.994444444444444,40.526349826388895,0.30922857438752727,0.017966116459018903,12,66,0.1354303120507927,0.12583160782595756,56,
single_template,dcs_process_diagnostics,64,160,12,1.0,0.6666666666666666,32.621059027777775,28.960442708333332,-0.1264005649468578,0.039184819231424826,12,66,0.14567433410413316,0.1327539393895874,52,
single_template,document_rag,64,160,12,1.0,1.0,37.08000434027778,28.960442708333332,-0.28036731736866916,0.014077847346010525,12,66,0.14577622599309548,0.1449476244772246,65,
single_template,equipment_maintenance_bom,64,160,12,0.6666666666666666,0.0,13.97750525348043,28.960442708333332,0.5173587160165055,0.02457110173423801,12,66,0.1494240537162503,0.14331331345362722,56,
single_template,erp_structured_analytics,64,160,12,1.0,1.0,40.92112847222222,28.960442708333332,-0.4130007916090046,0.01568316690861063,12,66,0.10491109247286778,0.10321247805684482,64,
single_template,office_legal,64,160,12,0.3333333333333333,0.0,9.79583666267146,28.960442708333332,0.661751142365903,0.07337345020601352,12,66,0.2740436666391407,0.2261824631572233,30,
single_template,tool_agent,64,160,12,0.25,0.08333333333333333,11.821401806492327,28.960442708333332,0.5918086637850073,0.017966116459018903,12,66,0.1354303120507927,0.12583160782595756,56,
single_template,dcs_process_diagnostics,160,384,12,0.5833333333333334,0.0,15.264794898918666,14.240334309795456,-0.07194076816149719,0.039184819231424826,12,66,0.14567433410413316,0.1327539393895874,52,
single_template,document_rag,160,384,12,1.0,0.0,17.5033010109346,14.240334309795456,-0.22913554065192532,0.014077847346010525,12,66,0.14577622599309548,0.1449476244772246,65,
single_template,equipment_maintenance_bom,160,384,12,0.0,0.0,nan,14.240334309795456,nan,0.02457110173423801,12,66,0.1494240537162503,0.14331331345362722,56,
single_template,erp_structured_analytics,160,384,12,1.0,0.16666666666666666,30.792141532944328,14.240334309795456,-1.1623187253239857,0.01568316690861063,12,66,0.10491109247286778,0.10321247805684482,64,
single_template,office_legal,160,384,12,0.0,0.0,nan,14.240334309795456,nan,0.07337345020601352,12,66,0.2740436666391407,0.2261824631572233,30,
single_template,tool_agent,160,384,12,0.08333333333333333,0.0,8.0,14.240334309795456,0.43821543610130953,0.017966116459018903,12,66,0.1354303120507927,0.12583160782595756,56,
